epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3438.42,0.63399,0.93465,1.26616,0.94185,0,0.37616,0.52076,0.41427,0.32702,0.36282,0.46903,0.37389,0.2387,0.68722,0.73229,6.34577,0.90451,0,0.00104703,0.00104703,0.00104703
29,3559.92,0.63168,0.90285,1.27211,0.93704,0,0.64948,0.53075,0.60697,0.44904,0.58841,0.47188,0.52714,0.29696,0.68965,0.73029,1.18486,0.9043,0,0.00103288,0.00103288,0.00103288
30,3681.03,0.63968,0.89374,1.24041,0.94158,0,0.61493,0.63466,0.65145,0.50497,0.60864,0.53343,0.57331,0.33918,0.64873,0.7331,1.3306,0.89397,0,0.00101873,0.00101873,0.00101873
31,3802.32,0.62521,0.91466,1.20995,0.94566,0,0.57824,0.6324,0.6666,0.50373,0.53649,0.57613,0.59071,0.32019,0.64269,0.77812,1.15948,0.88661,0,0.00100459,0.00100459,0.00100459
32,3923.92,0.6358,0.90899,1.21219,0.9427,0,0.57877,0.61866,0.61585,0.46959,0.55177,0.53104,0.54084,0.30996,0.68576,0.76996,1.97555,0.89757,0,0.00099044,0.00099044,0.00099044
33,4045.28,0.62575,0.878,1.20182,0.94014,0,0.53332,0.60141,0.57522,0.45239,0.52421,0.52616,0.51335,0.30735,0.65253,0.78209,2.19098,0.88421,0,0.000976293,0.000976293,0.000976293
34,4167.19,0.62516,0.87764,1.17422,0.94098,0,0.65868,0.62904,0.67454,0.51492,0.61935,0.55583,0.59397,0.34728,0.64184,0.74225,1.04384,0.88708,0,0.000962146,0.000962146,0.000962146
35,4288.91,0.61299,0.86986,1.20463,0.93806,0,0.65614,0.66999,0.70857,0.54098,0.60595,0.5965,0.62025,0.35785,0.65679,0.69824,0.94937,0.87585,0,0.000947999,0.000947999,0.000947999
36,4410.57,0.61246,0.88279,1.18418,0.93215,0,0.62911,0.6335,0.67153,0.5149,0.57411,0.57501,0.5974,0.34662,0.6415,0.70847,1.01931,0.88627,0,0.000933851,0.000933851,0.000933851
37,4531.97,0.60469,0.86258,1.15458,0.93299,0,0.65877,0.64959,0.68969,0.51994,0.60025,0.58659,0.61115,0.35743,0.62468,0.7486,1.02922,0.87926,0,0.000919704,0.000919704,0.000919704
38,4653.12,0.59939,0.84829,1.13689,0.93219,0,0.64058,0.6667,0.68866,0.5284,0.60898,0.57006,0.60041,0.35416,0.63813,0.72967,1.12127,0.89354,0,0.000905557,0.000905557,0.000905557
39,4774.35,0.60783,0.86156,1.18249,0.9373,0,0.69449,0.65083,0.70986,0.54865,0.63399,0.59155,0.62282,0.36625,0.61056,0.76924,0.94588,0.86769,0,0.00089141,0.00089141,0.00089141
40,4895.83,0.60246,0.84303,1.16162,0.9301,0,0.68023,0.70145,0.7317,0.56977,0.63769,0.62152,0.64641,0.37682,0.6117,0.73151,0.88705,0.86848,0,0.000877263,0.000877263,0.000877263
41,5016.91,0.60415,0.84928,1.15383,0.93307,0,0.71548,0.69433,0.74259,0.56802,0.66635,0.60582,0.65046,0.36221,0.61849,0.77129,0.98364,0.87464,0,0.000863116,0.000863116,0.000863116
42,5138.22,0.5891,0.84633,1.11813,0.92994,0,0.69055,0.68749,0.74297,0.5883,0.63723,0.6182,0.65666,0.39757,0.57792,0.66878,0.94955,0.86813,0,0.000848969,0.000848969,0.000848969
43,5260.08,0.58234,0.86493,1.0968,0.92146,0,0.67673,0.7037,0.74612,0.58125,0.65394,0.6118,0.66399,0.38677,0.61212,0.70748,0.97276,0.86622,0,0.000834822,0.000834822,0.000834822
44,5381.49,0.59384,0.86372,1.12881,0.92548,0,0.68605,0.67919,0.73241,0.56445,0.61956,0.60963,0.63234,0.35687,0.59147,0.71783,0.9265,0.86029,0,0.000820675,0.000820675,0.000820675
45,5502.8,0.57472,0.8395,1.09905,0.92041,0,0.69661,0.70262,0.7543,0.59292,0.63866,0.64099,0.67336,0.40381,0.57358,0.65286,0.85451,0.85888,0,0.000806528,0.000806528,0.000806528
46,5624.54,0.58588,0.8745,1.0921,0.92216,0,0.70975,0.70841,0.76042,0.58814,0.63864,0.61154,0.65511,0.37902,0.60161,0.71098,0.85814,0.8585,0,0.00079238,0.00079238,0.00079238
47,5746.02,0.58053,0.83675,1.08605,0.92064,0,0.69453,0.71568,0.76038,0.59443,0.65522,0.60786,0.65847,0.38352,0.61391,0.67309,0.96523,0.85991,0,0.000778233,0.000778233,0.000778233
48,5866.75,0.57513,0.83446,1.07795,0.91957,0,0.69762,0.67367,0.73065,0.57174,0.63641,0.60981,0.64866,0.38478,0.57718,0.66601,0.91667,0.85053,0,0.000764086,0.000764086,0.000764086
49,5987.71,0.5673,0.80685,1.07704,0.91924,0,0.71537,0.71429,0.77267,0.60442,0.66589,0.62765,0.67865,0.39782,0.58653,0.71446,0.86837,0.86204,0,0.000749939,0.000749939,0.000749939
50,6108.86,0.56541,0.83944,1.08553,0.92106,0,0.71744,0.70961,0.76357,0.60333,0.69346,0.61088,0.6699,0.40491,0.58243,0.62968,0.94468,0.86045,0,0.000735792,0.000735792,0.000735792
51,6229.98,0.56442,0.80022,1.056,0.91915,0,0.74387,0.70968,0.78221,0.60907,0.65743,0.63368,0.67442,0.38532,0.58202,0.75018,0.77922,0.86006,0,0.000721645,0.000721645,0.000721645
52,6351.26,0.57493,0.79605,1.05321,0.91884,0,0.74804,0.73621,0.79308,0.62791,0.70306,0.63953,0.69984,0.41757,0.57119,0.71024,0.83129,0.85298,0,0.000707498,0.000707498,0.000707498
53,6472.65,0.56251,0.83221,1.04756,0.9131,0,0.72109,0.69822,0.76116,0.5981,0.65982,0.6195,0.66789,0.39822,0.5863,0.67924,0.79973,0.85502,0,0.000693351,0.000693351,0.000693351
54,6593.84,0.55454,0.82524,1.05149,0.91484,0,0.72305,0.72128,0.77602,0.60984,0.69467,0.63054,0.69021,0.41556,0.56545,0.67834,0.79286,0.84918,0,0.000679204,0.000679204,0.000679204
55,6715.11,0.54641,0.8137,1.02106,0.915,0,0.74337,0.73285,0.78479,0.61433,0.67656,0.6367,0.68338,0.40161,0.57106,0.69087,0.78626,0.84721,0,0.000665057,0.000665057,0.000665057
56,6836.23,0.55481,0.80225,1.02383,0.91637,0,0.74716,0.72259,0.78086,0.60242,0.68929,0.64407,0.69114,0.39996,0.58036,0.72717,0.7998,0.85669,0,0.000650909,0.000650909,0.000650909
57,6957.8,0.55019,0.79183,0.9847,0.91483,0,0.76906,0.74146,0.80319,0.63543,0.71557,0.65977,0.71746,0.42941,0.54843,0.67503,0.72585,0.84136,0,0.000636762,0.000636762,0.000636762
58,7079.12,0.55283,0.81184,1.01659,0.91259,0,0.74889,0.734,0.80047,0.62522,0.69273,0.64845,0.69884,0.40938,0.5644,0.70386,0.76058,0.84357,0,0.000622615,0.000622615,0.000622615
59,7200.3,0.5443,0.79929,0.99906,0.91023,0,0.7514,0.73199,0.79634,0.63435,0.68499,0.657,0.69953,0.41561,0.56252,0.67394,0.7496,0.84943,0,0.000608468,0.000608468,0.000608468
60,7321.8,0.54477,0.7871,0.99983,0.9113,0,0.76591,0.74409,0.80976,0.64295,0.71538,0.64961,0.71387,0.42982,0.54796,0.64729,0.7552,0.83722,0,0.000594321,0.000594321,0.000594321
61,7443.11,0.5404,0.78589,0.99284,0.91169,0,0.77368,0.7201,0.8014,0.63561,0.7061,0.62321,0.69744,0.41032,0.55037,0.71886,0.76905,0.83319,0,0.000580174,0.000580174,0.000580174
62,7563.86,0.53997,0.76414,0.98105,0.91353,0,0.76694,0.73526,0.80791,0.6312,0.68313,0.65059,0.69457,0.40225,0.5513,0.68612,0.73993,0.8318,0,0.000566027,0.000566027,0.000566027
63,7684.88,0.53988,0.77563,0.97477,0.90275,0,0.76596,0.72889,0.81225,0.63769,0.7022,0.65126,0.71116,0.41795,0.53719,0.69168,0.73998,0.83292,0,0.00055188,0.00055188,0.00055188
64,7805.9,0.53745,0.76263,0.95662,0.90551,0,0.791,0.72627,0.81649,0.64913,0.72741,0.65242,0.72654,0.43424,0.54398,0.66819,0.73226,0.83393,0,0.000537733,0.000537733,0.000537733
65,7926.95,0.53524,0.7836,0.98827,0.91068,0,0.78845,0.71344,0.81237,0.64511,0.73995,0.6144,0.70154,0.4092,0.54914,0.66755,0.75874,0.84645,0,0.000523586,0.000523586,0.000523586
66,8048.02,0.53493,0.7641,0.96399,0.90556,0,0.78965,0.74849,0.81572,0.65407,0.71758,0.64727,0.70767,0.41857,0.53308,0.66906,0.74129,0.83672,0,0.000509438,0.000509438,0.000509438
67,8169.43,0.53163,0.7563,0.94806,0.90836,0,0.76575,0.78651,0.83453,0.66937,0.70857,0.6846,0.73351,0.43409,0.53256,0.66492,0.68066,0.82924,0,0.000495291,0.000495291,0.000495291
68,8290.95,0.52527,0.76532,0.93495,0.90581,0,0.78861,0.7151,0.81007,0.63903,0.70793,0.64061,0.70582,0.40116,0.53852,0.6961,0.75322,0.82985,0,0.000481144,0.000481144,0.000481144
69,8412.64,0.51185,0.74245,0.92214,0.89904,0,0.77793,0.75478,0.81833,0.65681,0.70528,0.6857,0.73075,0.43213,0.52433,0.66271,0.76334,0.83336,0,0.000466997,0.000466997,0.000466997
