model,eval_weight,weight_size_mb,params_count,seg_map50,seg_map,latency_ms_avg,fps,gpu_peak_mem_mb,avg_pred_instances,mask_presence_rate,calib_temp,acc_uncalibrated,acc_calibrated,ece,brier,n_calib_eval,n_total_used,calib_frac,onnx_export_success,onnx_export_time_s,onnx_export_path,onnx_size_mb
yolo11s-seg,runs/segment/stroke_yolo11_seg/yolo11s-seg_img640_ep100_bs16/weights/best.pt,19.56644058227539,10067977,0.7523755024536027,0.45608077631043586,23.570583083407353,42.425764201987676,355.625,1.8333333333333333,0.3333333333333333,1.1,0.95,0.95,0.04042699088652929,0.05042975768446922,60,200,0.7,True,7.056305189000341,runs/segment/stroke_yolo11_seg/yolo11s-seg_img640_ep100_bs16/weights/best.onnx,38.68077754974365
yolo26s-seg,runs/segment/stroke_yolo11_seg/yolo26s-seg_img640_ep100_bs16/weights/best.pt,22.267849922180176,10366501,0.5480704470810025,0.3498610654365841,25.00124666736762,39.998005431674336,628.021484375,1.6666666666666667,0.3333333333333333,0.7,0.9166666666666666,0.9166666666666666,0.05936858852704366,0.10042478144168854,60,200,0.7,True,3.220262222999736,runs/segment/stroke_yolo11_seg/yolo26s-seg_img640_ep100_bs16/weights/best.onnx,39.855892181396484
yolov8s-seg,runs/segment/stroke_yolo11_seg/yolov8s-seg_img640_ep100_bs16/weights/best.pt,22.753040313720703,11780761,0.7260859804848296,0.43713092549610755,25.439666665988625,39.30869115266131,861.52294921875,1.5,0.3333333333333333,0.9,1.0,1.0,0.04602314134438833,0.018195249140262604,60,200,0.7,True,2.6660556429997087,runs/segment/stroke_yolo11_seg/yolov8s-seg_img640_ep100_bs16/weights/best.onnx,45.18307590484619
