epoch,train_loss_mean,val_auc,val_mean_prob_y0,val_mean_prob_y1,val_mean_entropy
1,0.7994811435540518,0.6419805332204824,0.5650985240936279,0.5666055679321289,0.6844010949134827
2,0.6861283530791601,0.6436732966567922,0.5781100988388062,0.5804864168167114,0.6804164052009583
3,0.6807976067066193,0.6714884776670642,0.5480598211288452,0.5522616505622864,0.6879549622535706
4,0.6770974198977152,0.7554341553495172,0.6201530694961548,0.6300008296966553,0.6608926057815552
5,0.6646193961302439,0.8351479244411957,0.5808720588684082,0.628251314163208,0.6658223867416382
6,0.5955424507459005,0.8331473858346478,0.41192856431007385,0.7444658875465393,0.47907084226608276
7,0.546646868189176,0.8418420343938753,0.538941502571106,0.799406111240387,0.4964049160480499
8,0.5347302456696829,0.8376101258031009,0.29566800594329834,0.6155452728271484,0.5275813341140747
9,0.5552145491043726,0.842226753356673,0.5440301895141602,0.7852132320404053,0.5216074585914612
10,0.5626680701971054,0.8409571807794406,0.5691591501235962,0.8032965660095215,0.5032033324241638
11,0.5524871870875359,0.8404955180240834,0.44032567739486694,0.7308010458946228,0.529763400554657
12,0.5308442463477453,0.8426114723194706,0.3683798909187317,0.6821985244750977,0.5326101183891296
13,0.5200604697068533,0.8436886854153041,0.43452006578445435,0.7587616443634033,0.48451662063598633
14,0.5299058482050896,0.8430731350748278,0.4217185378074646,0.7207484841346741,0.5313628911972046
15,0.5168258398771286,0.8453045050590544,0.4737582802772522,0.780296802520752,0.4851710796356201
16,0.5239313741525015,0.8441503481706613,0.4128133952617645,0.7281787991523743,0.5126293897628784
17,0.5210191880663236,0.8432654945562267,0.42984986305236816,0.7449443340301514,0.5030614137649536
18,0.5191791678468386,0.8429192474897089,0.3791150152683258,0.7021637558937073,0.5161460041999817
19,0.5177632768948873,0.8398799676836073,0.44964003562927246,0.7539916038513184,0.5026401877403259
20,0.5179912894964218,0.8398414957873273,0.3896724283695221,0.7237589359283447,0.4933684170246124
21,0.5176596889893214,0.8407263494017618,0.4285617768764496,0.7244467735290527,0.5297747850418091
22,0.5141847282648087,0.841880506290155,0.3812546730041504,0.7155107259750366,0.49958980083465576
23,0.5194753607114156,0.8386103951063748,0.27495700120925903,0.5759999752044678,0.5379546284675598
24,0.5315637613336245,0.8395721925133689,0.3189757168292999,0.6216390132904053,0.5478038787841797
25,0.5192849611242613,0.8405339899203632,0.3444136083126068,0.6648428440093994,0.5263140201568604
26,0.5215233887235323,0.8394952487208095,0.41936081647872925,0.7325010299682617,0.5076608061790466
27,0.5129406948884329,0.8356480590928326,0.38967251777648926,0.701789915561676,0.5218853950500488
28,0.5182713468869528,0.834109183241642,0.41173702478408813,0.727638840675354,0.5039368867874146
29,0.5121362159649531,0.8381872042472973,0.40111103653907776,0.7281457185745239,0.49792996048927307
30,0.5216153686245283,0.835917362366791,0.30977293848991394,0.6031889915466309,0.5519942045211792
31,0.5173046042521795,0.8339168237602432,0.3417065441608429,0.6540889739990234,0.5305313467979431
32,0.5136422291398048,0.8349940368560765,0.32835760712623596,0.6589869260787964,0.509536862373352
33,0.5113109548886617,0.8369945754626246,0.35553187131881714,0.6819074749946594,0.5146820545196533
34,0.5119117473562559,0.8335321047974454,0.3645293414592743,0.6707422733306885,0.533489465713501
35,0.5129622692863146,0.83610972184819,0.28812217712402344,0.6099869608879089,0.5188301205635071
