model,gentle_platt_mix,val_ece,test_ece_raw,test_ece_gentle,test_brier_raw,test_brier_gentle,test_auc_raw,test_auc_gentle
LR,0.32,0.06259099556480198,0.078422738167008,0.07580108496199531,0.1603624491702477,0.15983577036890154,0.8534990189666447,0.8534990189666447
LASSO_CV,0.32,0.06688069585541506,0.09329160166003246,0.0744291248314424,0.1609891503185082,0.16037915732707994,0.8541145693071212,0.8541145693071212
RF,0.32,0.07648205922588848,0.0615295953808087,0.051025064146994814,0.1535959320046494,0.15365579696000228,0.8569230177355442,0.8569230177355442
MLP,0.32,0.06106312237378195,0.05528396515805966,0.06512423220733145,0.1589411541873264,0.16011604948610866,0.8449582579925364,0.8449582579925364
XGB,0.32,0.074415692795308,0.10115995332620113,0.08042990850806642,0.17042560590871456,0.16638476789707454,0.8468049090139653,0.8468049090139653
LGBM,0.32,0.1491420003135587,0.16411995013358271,0.11757423729069133,0.19293335897284003,0.17981296261344634,0.8342630708267611,0.8342630708267611
CatBoost,0.32,0.07926947154332192,0.0746200492472774,0.07172856784548279,0.1633238519951666,0.1623142374823036,0.8483822567614357,0.8483822567614357
Stacking,0.32,0.09361061905078993,0.09473802352054103,0.08897776100121015,0.1658413112628171,0.1644918282367885,0.8507290424345016,0.8507290424345016
FTTransformer,0.32,0.09068031691334733,0.0773544858204075,0.055084722163261726,0.1699213363237818,0.16764398320100893,0.8267995229484861,0.8267995229484861
