model,pipeline,val_auc,val_ap,val_accuracy,val_sensitivity,val_specificity,val_f1,val_brier,val_auc_ci_low,val_auc_ci_high,test_auc,test_ap,test_accuracy,test_sensitivity,test_specificity,test_f1,test_brier,test_auc_ci_low,test_auc_ci_high
XGB,tree_nan,0.8506520986419421,0.8720688428156749,0.7852760736196319,0.8074866310160428,0.7553956834532374,0.8118279569892473,0.15756317959508323,0.8137344476467057,0.8898446697519588,0.8468049090139653,0.8844424421732976,0.7699386503067485,0.7754010695187166,0.762589928057554,0.7945205479452054,0.17042560590871456,0.7916305519755319,0.8803405285190999
LGBM,tree_nan,0.8474974031470011,0.8698514585696272,0.7699386503067485,0.8021390374331551,0.7266187050359713,0.8,0.17580568214933848,0.8078450001174444,0.883781833121795,0.8342630708267611,0.8690170973746065,0.7484662576687117,0.7593582887700535,0.7338129496402878,0.7759562841530054,0.19293335897284003,0.7838310370579599,0.8694425305798852
CatBoost,tree_nan,0.8493825260647098,0.879718311617967,0.7699386503067485,0.7754010695187166,0.762589928057554,0.7945205479452054,0.15746178636190916,0.8149547948332677,0.8842711888178029,0.8483822567614357,0.8835956898026492,0.7699386503067485,0.7647058823529411,0.7769784172661871,0.7922437673130194,0.1633238519951666,0.7962662327802776,0.8825466743987999
