raw_feature,n_selected_terms,max_abs_coefficient
TyG,1,0.49219140266364275
BMXWAIST,1,0.4916412128399893
BMXBMI,1,0.38568176793745834
ALT_AST_ratio,1,0.3252342339686352
RIDAGEYR,1,0.25844874315148425
BRI,1,0.1960615610307637
LBXGLU,1,0.10305789710616606
LBXSTB,1,0.08921679043233038
BPXDI1,1,0.040659234106072605
BPXSY1,1,0.028211041776009332
TC_HDL_ratio,1,0.005589734320882966
LBXSUA,1,0.002980736475717037
