model,cv_train_auc_oof,pipeline
LR,0.827857307576322,linear
LASSO,0.832293828605893,linear
RF,0.8245543079133628,linear
MLP,0.8039362815532258,linear
XGB,0.807640182356802,tree_nan
LGBM,0.8029677327798769,tree_nan
CatBoost,0.8172671314281659,tree_nan
