iter	Logloss
365	0.1183349833
366	0.1175807523
367	0.1175477607
368	0.1168743359
369	0.1163078207
370	0.1162804202
371	0.1157211203
372	0.1151006653
373	0.1149164263
374	0.1142796008
375	0.1141577158
376	0.113578623
377	0.1133489128
378	0.1128513347
379	0.1124119252
380	0.1118279932
381	0.1117697482
382	0.1114931391
383	0.1114735315
384	0.1111824702
385	0.1111450534
386	0.1106199114
387	0.1097462259
388	0.1096395342
389	0.1089435591
390	0.1083134366
391	0.108242832
392	0.1078784522
393	0.1073282857
394	0.1068025441
395	0.1062868843
396	0.1057751373
397	0.1051343118
398	0.1044672194
399	0.1039835594
400	0.1037729009
401	0.1033284996
402	0.1030558905
403	0.1028988776
404	0.1026254619
405	0.1021998289
406	0.1017558309
407	0.1012062202
408	0.1008957693
409	0.1004467795
410	0.1000819637
411	0.0994572362
412	0.09909747758
413	0.09872311413
414	0.09835293593
415	0.09796780413
416	0.09758275952
417	0.09715749711
418	0.09655928723
419	0.0965408786
420	0.09620680924
421	0.09595220547
422	0.09571116022
423	0.09519992543
424	0.09460674006
425	0.09430698117
426	0.09388190405
427	0.09326501306
428	0.09300301967
429	0.09254794812
430	0.09208892019
431	0.09176310148
432	0.09138477074
433	0.09085466955
434	0.09051481275
435	0.09018831829
436	0.08965625526
437	0.08933529756
438	0.08889055839
439	0.08865259215
440	0.08821291563
441	0.08817578228
442	0.08814206036
443	0.08811623486
444	0.08788993069
445	0.08735113745
446	0.08688953187
447	0.08628997595
448	0.08600072928
449	0.08569922654
450	0.0853220293
451	0.0849155134
452	0.08475620076
453	0.08440023504
454	0.08417632868
455	0.08361331756
456	0.08360112142
457	0.08337704613
458	0.08335878463
459	0.08318555924
460	0.08286483587
461	0.08255592716
462	0.08252116437
463	0.08218872989
464	0.08182902031
465	0.08162189317
466	0.08100692588
467	0.08066181025
468	0.08035885791
469	0.08000291399
470	0.07993859275
471	0.07952872537
472	0.07929819778
473	0.07895086962
474	0.07856567243
475	0.07818225724
476	0.07776653157
477	0.07751709398
478	0.0772985064
479	0.07708717764
480	0.07670178426
481	0.07642555115
482	0.0762134976
483	0.07596343877
484	0.07561660107
485	0.07528828646
486	0.07495176479
487	0.07446621382
488	0.07414996999
489	0.07379584078
490	0.07350625078
491	0.07317597432
492	0.07287219366
493	0.07282530013
494	0.07256294708
495	0.07239664264
496	0.07211536324
497	0.07190082468
498	0.07188912446
499	0.07157138745
