iter	Logloss
0	0.6714563711
1	0.653820395
2	0.6334322132
3	0.6178130565
4	0.6025277185
5	0.5908047406
6	0.5797466536
7	0.5680817027
8	0.5598163226
9	0.5502274388
10	0.5411253539
11	0.5327147101
12	0.5251979261
13	0.5178849995
14	0.5105368033
15	0.5059523659
16	0.501034633
17	0.4940701735
18	0.4890495092
19	0.4843499334
20	0.4799994786
21	0.47605421
22	0.4710124886
23	0.4673131481
24	0.4630954884
25	0.4596562448
26	0.4565869178
27	0.453188873
28	0.4501033717
29	0.447439013
30	0.4450320047
31	0.4427634153
32	0.4398968122
33	0.4364071711
34	0.4331154582
35	0.4310334184
36	0.4291371435
37	0.4270245861
38	0.4243892191
39	0.4218977642
40	0.4189377774
41	0.4152315486
42	0.4137193592
43	0.4118292749
44	0.4103793849
45	0.409134137
46	0.4073433657
47	0.4054287802
48	0.4043780165
49	0.4024147337
50	0.4014716534
51	0.3994092321
52	0.398616865
53	0.3968430091
54	0.3958185341
55	0.3938316656
56	0.3925885103
57	0.3911645167
58	0.3900530666
59	0.388909791
60	0.3875848051
61	0.3868225632
62	0.3851911372
63	0.3836375747
64	0.3828080634
65	0.3819683505
66	0.3802684343
67	0.378339026
68	0.3772586167
69	0.3766492243
70	0.3758573368
71	0.3748935046
72	0.3732220134
73	0.3725778309
74	0.370614025
75	0.3700409485
76	0.3696361982
77	0.3692809301
78	0.3685827751
79	0.367413734
80	0.3666020537
81	0.365872858
82	0.3649643062
83	0.364352516
84	0.3624373638
85	0.3616220213
86	0.3602928719
87	0.358824606
88	0.3573761111
89	0.3560390053
90	0.3550909114
91	0.3526917068
92	0.3512235063
93	0.3503562404
94	0.3489324429
95	0.348550995
96	0.3469387079
97	0.3456557054
98	0.3452589769
99	0.3439638764
100	0.3423254532
101	0.3416492709
102	0.3396781625
103	0.3386186577
104	0.3379022358
105	0.3366473095
106	0.3356757389
107	0.3341840834
108	0.3330296471
109	0.3327110218
110	0.3316718112
111	0.3312935023
112	0.3305932329
113	0.3291769122
114	0.3280225631
115	0.3271259132
116	0.3256386391
117	0.3242771847
118	0.3231567755
119	0.3212118468
120	0.3198908064
121	0.3194038331
122	0.3187240759
123	0.3170216747
124	0.3155521227
125	0.3152755462
126	0.3143541334
127	0.3134330694
128	0.3121427427
129	0.3108693969
130	0.3096578709
131	0.308703412
132	0.3073309058
133	0.306744794
134	0.3053733559
135	0.3041265168
136	0.3026722671
137	0.3006453334
138	0.2990206212
139	0.2978626318
140	0.2968244457
141	0.2958814308
142	0.2955600154
143	0.2938041431
144	0.2933895182
145	0.2923940349
146	0.2909850603
147	0.2903170741
148	0.288103787
149	0.2874192123
150	0.2865403062
151	0.2852305136
152	0.283695654
153	0.282089296
154	0.2812242099
155	0.2811407662
156	0.2796474976
157	0.2780820332
158	0.2774281723
159	0.2772742983
160	0.2754722791
161	0.2750485862
162	0.2743220717
163	0.2731635809
164	0.2717891565
165	0.2708789698
166	0.2705142194
167	0.26936423
168	0.2690862585
169	0.268190306
170	0.2681029822
171	0.2666267381
172	0.2664865752
173	0.266244331
174	0.264641003
175	0.2641701604
176	0.2640171584
177	0.262302245
178	0.2606952985
179	0.2589402109
180	0.2572336027
181	0.256198403
182	0.2552918566
183	0.2551456774
184	0.2537998523
185	0.2529397798
186	0.2528405105
187	0.2512877763
188	0.2499460057
189	0.2485862297
190	0.2464845061
191	0.2449836735
192	0.2440762116
193	0.2418808644
194	0.2418298783
195	0.2408030055
196	0.2397975168
197	0.2381144289
198	0.2372220078
199	0.2371529509
200	0.2362107207
201	0.2350593362
202	0.2335125747
203	0.2334182972
204	0.2325950638
205	0.2324421053
206	0.2323525798
207	0.2317247897
208	0.2314238864
209	0.230510757
210	0.2298666617
211	0.2288458052
212	0.2277738972
213	0.226452072
214	0.225397232
215	0.2240955266
216	0.2240316141
217	0.2238259475
218	0.2224661279
219	0.2214083669
220	0.2200661822
221	0.2188871792
222	0.2173085704
223	0.2156443599
224	0.2137278997
225	0.2127308251
226	0.2117993415
227	0.2109055035
228	0.2099967991
229	0.2099508484
230	0.2082681529
231	0.2069724638
232	0.2056462572
233	0.2048442553
234	0.203685176
235	0.2036072036
236	0.2027527551
237	0.2027281666
238	0.201510123
239	0.2003860081
240	0.199291844
241	0.1992239206
242	0.1983776682
243	0.1967415774
244	0.1960331119
245	0.1958633688
246	0.1950250292
247	0.1936027358
248	0.1921575978
249	0.1921222628
250	0.1913503861
251	0.1913308113
252	0.1904291259
253	0.1892274528
254	0.1882806668
255	0.1872123773
256	0.1863214385
257	0.1854064126
258	0.1841747014
259	0.1832817572
260	0.1832400789
261	0.1823965731
262	0.1823416415
263	0.1817746358
264	0.1806183903
265	0.1805712733
266	0.1795335232
267	0.1785336693
268	0.1781638072
269	0.1763441314
270	0.1756233389
271	0.1748784812
272	0.1740875201
273	0.1729705224
274	0.1723251628
275	0.1715422127
276	0.1709417031
277	0.1699677237
278	0.1690447851
279	0.1682835132
280	0.167520236
281	0.1667043268
282	0.1666797602
283	0.1656967237
284	0.1656574868
285	0.165210219
286	0.1644689362
287	0.1637333972
288	0.1629634933
289	0.1618105938
290	0.1609594804
291	0.1599452179
292	0.158739305
293	0.1586999373
294	0.1580388831
295	0.1575902529
296	0.156414596
297	0.1558468165
298	0.1558050183
299	0.1557672092
300	0.1546703749
301	0.1539290049
302	0.1528608788
303	0.1518905398
304	0.1510926905
305	0.1504765298
306	0.1498596497
307	0.1493985945
308	0.1484706531
309	0.1477356373
310	0.1469216246
311	0.1462538346
312	0.145925411
313	0.1453228742
314	0.1444856899
315	0.1439131911
316	0.1434448553
317	0.1426662866
318	0.1420912591
319	0.1420461912
320	0.1415247222
321	0.1408073303
322	0.140176423
323	0.1401516056
324	0.1394712272
325	0.1388676877
326	0.1384867193
327	0.1378045861
328	0.1375367835
329	0.1366385423
330	0.1360465667
331	0.135495234
332	0.134843335
333	0.1341989019
334	0.1334488671
335	0.13341981
336	0.13280972
337	0.132767802
338	0.1321999135
339	0.1314683527
340	0.1306842363
341	0.1302424835
342	0.1302160204
343	0.1294502363
344	0.128772114
345	0.1279784064
346	0.1276268766
347	0.1271443283
348	0.1270126232
349	0.1266078076
350	0.1260337611
351	0.1253919111
352	0.1248672921
353	0.1243952833
354	0.1235541209
355	0.1235375978
356	0.1228568597
357	0.1221946392
358	0.1215271108
359	0.1207821332
360	0.1204337097
361	0.1200697222
362	0.1199217991
363	0.1191293885
364	0.118589053
