model,threshold_ba,threshold_f1_on_thr,ba_val_at_threshold_on_thr,calibration_method,calibration_brier_candidates,val_auc,val_ap,val_accur,val_bacc,val_trusted,val_sensit,val_specifi,val_f1,val_brier,val_auc_ci,test_auc,test_ap,test_accur,test_bacc,test_trusted,test_sensit,test_specifi,test_f1,test_brier,test_auc_ci,n_fit,n_thr,n_eval,n_test_full
RF,0.14999999999999997,0.14999999999999997,0.8114704352349575,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.10415913309465417, ""sigmoid"": 0.07788066226540664, ""isotonic"": 0.06908225523329349}",0.8750570776255707,0.5384736878453387,0.8648648648648649,0.7055365296803653,0.7771182036882232,0.475,0.9360730593607306,0.5205479452054794,0.0978938067307763,"[0.8396, 0.9083]",0.8884724735073662,0.6102215562791455,0.8869565217391304,0.7581954854828983,0.8175371365686386,0.5723270440251572,0.9440639269406392,0.6086956521739131,0.08350194960594672,"[0.8617, 0.9115]",3267,517,518,1035
LR,0.09999999999999999,0.20999999999999996,0.8435206057453326,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.12788641164794604, ""sigmoid"": 0.08240524933877147, ""isotonic"": 0.0766878639968756}",0.8585759132420091,0.5249044519744122,0.833976833976834,0.7843321917808219,0.8083930419670482,0.7125,0.8561643835616438,0.57,0.09568885106315177,"[0.8117, 0.8991]",0.8821041900002873,0.5755479469287821,0.8415458937198068,0.8137330920995951,0.8274058308078461,0.7735849056603774,0.8538812785388128,0.6,0.08619753675081863,"[0.8522, 0.9076]",3267,517,518,1035
LASSO,0.09999999999999999,0.20999999999999996,0.8435206057453326,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.12796414255543603, ""sigmoid"": 0.08243378692627513, ""isotonic"": 0.07714290044112875}",0.8600171232876712,0.5326984733122357,0.833976833976834,0.7843321917808219,0.8083930419670482,0.7125,0.8561643835616438,0.57,0.0957526514740019,"[0.8154, 0.9003]",0.8826713764682232,0.5822931016782207,0.8415458937198068,0.8137330920995951,0.8274058308078461,0.7735849056603774,0.8538812785388128,0.6,0.08645676617545561,"[0.8531, 0.9081]",3267,517,518,1035
LASSO_CV,0.09999999999999999,0.20999999999999996,0.8435206057453326,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.12783081588993891, ""sigmoid"": 0.0823964740141207, ""isotonic"": 0.07668883235867006}",0.8557220319634702,0.5246378065342354,0.833976833976834,0.7894406392694064,0.811097842422551,0.725,0.8538812785388128,0.5742574257425742,0.09544986118853416,"[0.8073, 0.8980]",0.8806790442549035,0.5752722801537005,0.8415458937198068,0.8163069699319376,0.8287343148751053,0.779874213836478,0.8527397260273972,0.6019417475728155,0.08607841007255375,"[0.8509, 0.9069]",3267,517,518,1035
MLP,0.12999999999999998,0.25999999999999995,0.8233917114617653,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.11404200544663422, ""sigmoid"": 0.09075043879392318, ""isotonic"": 0.08085398400450931}",0.832791095890411,0.5506884520969471,0.8185328185328186,0.7598744292237443,0.7881136622599394,0.675,0.8447488584474886,0.5346534653465347,0.09452433320136056,"[0.7792, 0.8806]",0.8623172798024181,0.5829916404954936,0.8299516908212561,0.7914405100370465,0.8102387431516804,0.7358490566037735,0.8470319634703196,0.5707317073170731,0.08769576263636338,"[0.8293, 0.8937]",3267,517,518,1035
XGB,0.13999999999999999,0.33999999999999997,0.8444598578116871,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.0740439435578173, ""sigmoid"": 0.06966765288295523, ""isotonic"": 0.06340917349666497}",0.890810502283105,0.6450698677418791,0.8687258687258688,0.7895547945205479,0.827250404565097,0.675,0.9041095890410958,0.6136363636363636,0.08029520591012697,"[0.8500, 0.9269]",0.9061988455242527,0.6973573048831594,0.8772946859903382,0.8168346687343844,0.8459858300841426,0.7295597484276729,0.9041095890410958,0.6462395543175488,0.07186034720697736,"[0.8786, 0.9311]",3267,517,518,1035
Stacking,0.12999999999999998,0.31,0.8383330443326975,auto->isotonic_prefit_on_unresampled_threshold_set,"{""none"": 0.10408568454519619, ""sigmoid"": 0.0863106010311268, ""isotonic"": 0.07771823508173163}",0.860302511415525,0.5485332319210837,0.8243243243243243,0.7786244292237443,0.8008229272477843,0.7125,0.8447488584474886,0.5560975609756098,0.09261724536074237,"[0.8101, 0.9016]",0.8833103586915941,0.5838883746706345,0.8367149758454107,0.8083053329887138,0.8222648359237553,0.7672955974842768,0.8493150684931506,0.5907990314769975,0.08517493781074377,"[0.8534, 0.9103]",3267,517,518,1035
