model,test_patient_auc,test_patient_ap,test_patient_accuracy,test_patient_sensitivity,test_patient_specificity,test_patient_f1,test_patient_f1_macro,test_patient_f1_weighted,test_patient_brier,val_patient_auc,val_patient_ap,val_patient_accuracy,val_patient_sensitivity,val_patient_specificity,val_patient_f1,val_patient_f1_macro,val_patient_f1_weighted,val_patient_brier
efficientnet_b0,0.888888888888889,0.9484126984126984,0.8888888888888888,1.0,0.6666666666666666,0.9230769230769231,0.8615384615384616,0.882051282051282,0.13680043252970486,0.9444444444444445,0.9761904761904762,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.75,0.7777777777777778,0.1256213060143397
resnet50,0.8333333333333334,0.915079365079365,0.8888888888888888,1.0,0.6666666666666666,0.9230769230769231,0.8615384615384616,0.882051282051282,0.1420451013123348,0.888888888888889,0.9583333333333334,0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,0.8831168831168831,0.8917748917748918,0.15390331694528292
densenet121,0.7777777777777779,0.8734126984126983,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6493506493506493,0.6753246753246753,0.19890921524346045,0.888888888888889,0.9583333333333334,0.7777777777777778,0.6666666666666666,1.0,0.8,0.775,0.7833333333333334,0.1558699149532312
simple_cnn,0.6666666666666667,0.8416666666666666,0.5555555555555556,0.3333333333333333,1.0,0.5,0.55,0.5333333333333333,0.26665974371552376,0.888888888888889,0.9583333333333334,0.5555555555555556,0.3333333333333333,1.0,0.5,0.55,0.5333333333333333,0.24322972428524414
