model,test_slice_auc,test_slice_ap,test_slice_accuracy,test_slice_sensitivity,test_slice_specificity,test_slice_f1,test_slice_brier,test_slice_auc_ci_low,test_slice_auc_ci_high,test_slice_f1_macro,test_slice_f1_weighted,test_patient_auc,test_patient_ap,test_patient_accuracy,test_patient_sensitivity,test_patient_specificity,test_patient_f1,test_patient_brier,test_patient_auc_ci_low,test_patient_auc_ci_high,test_patient_f1_macro,test_patient_f1_weighted,val_slice_auc,val_slice_ap,val_slice_accuracy,val_slice_sensitivity,val_slice_specificity,val_slice_f1,val_slice_brier,val_slice_auc_ci_low,val_slice_auc_ci_high,val_slice_f1_macro,val_slice_f1_weighted,val_patient_auc,val_patient_ap,val_patient_accuracy,val_patient_sensitivity,val_patient_specificity,val_patient_f1,val_patient_brier,val_patient_auc_ci_low,val_patient_auc_ci_high,val_patient_f1_macro,val_patient_f1_weighted
vit_b_16,0.8638888888888889,0.9257418390192328,0.8888888888888888,1.0,0.6666666666666666,0.9230769230769231,0.12286514790674963,0.7670660756784945,0.9318247923422655,0.8615384615384616,0.882051282051282,0.8333333333333334,0.915079365079365,0.8888888888888888,1.0,0.6666666666666666,0.9230769230769231,0.12119912952117044,,,0.8615384615384616,0.882051282051282,0.8527777777777779,0.9461462100401803,0.6555555555555556,0.9333333333333333,0.1,0.7832167832167832,0.21203575419211182,0.7738612884971221,0.9369921916278814,0.4726894726894727,0.5761985761985762,0.8333333333333334,0.9444444444444444,0.5555555555555556,0.8333333333333334,0.0,0.7142857142857143,0.20933735797085298,,,0.35714285714285715,0.47619047619047616
resnet50,0.8261111111111111,0.9125629964195218,0.7777777777777778,0.9833333333333333,0.36666666666666664,0.855072463768116,0.17737764662739705,0.7501165098420939,0.8967096797447003,0.68944099378882,0.7446514837819186,0.8333333333333334,0.915079365079365,0.7777777777777778,1.0,0.3333333333333333,0.8571428571428571,0.16139589530040294,,,0.6785714285714286,0.738095238095238,0.8305555555555555,0.9218757375032467,0.7111111111111111,0.8166666666666667,0.5,0.7903225806451613,0.17491658574652943,0.744275908951164,0.9053695881019936,0.6630184331797235,0.705453149001536,0.888888888888889,0.9583333333333334,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.7692307692307693,0.15793837381548387,,,0.5846153846153846,0.6461538461538462
densenet121,0.8155555555555556,0.8810423251456563,0.7888888888888889,0.85,0.6666666666666666,0.8429752066115702,0.16744570794897426,0.6915970550330575,0.8920509259259259,0.7604706541532427,0.7879721716393518,0.7777777777777779,0.8734126984126983,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.15912025974985877,,,0.75,0.7777777777777778,0.8472222222222223,0.9366255969339806,0.7888888888888889,0.7,0.9666666666666667,0.8155339805825242,0.173245882611004,0.7687017231134878,0.9215041666666667,0.7843903669146388,0.7947715714706005,0.888888888888889,0.9583333333333334,0.7777777777777778,0.6666666666666666,1.0,0.8,0.1662086217957347,,,0.775,0.7833333333333334
efficientnet_b0,0.7483333333333333,0.8515036403497358,0.5333333333333333,0.4666666666666667,0.6666666666666666,0.5714285714285714,0.3399203183743563,0.6159869064778851,0.8398343837535015,0.5296167247386759,0.5435540069686411,0.7222222222222223,0.8555555555555555,0.5555555555555556,0.5,0.6666666666666666,0.6,0.33149765205552667,,,0.55,0.5666666666666667,0.8744444444444445,0.9457753624455008,0.7666666666666667,0.65,1.0,0.7878787878787878,0.25123270188409624,0.8006362476163992,0.9370736684470623,0.7643097643097643,0.7721661054994389,0.888888888888889,0.9583333333333334,0.7777777777777778,0.6666666666666666,1.0,0.8,0.24497983567550463,,,0.775,0.7833333333333334
simple_cnn,0.6661111111111112,0.8265134735829587,0.3333333333333333,0.0,1.0,0.0,0.32673975364897906,0.529050181436211,0.7742957232520801,0.25,0.16666666666666666,0.6666666666666667,0.8416666666666666,0.3333333333333333,0.0,1.0,0.0,0.326727458297712,,,0.25,0.16666666666666666,0.8777777777777778,0.9526230270087153,0.3333333333333333,0.0,1.0,0.0,0.3157921600353969,0.8067720913202117,0.9453990780716804,0.25,0.16666666666666666,0.888888888888889,0.9583333333333334,0.3333333333333333,0.0,1.0,0.0,0.3157179712110049,,,0.25,0.16666666666666666
