epoch,train_loss,val_slice_auc,val_patient_auc,val_patient_f1_weighted
1,0.24824441166128963,0.8305555555555555,0.888888888888889,0.6461538461538462
2,0.06968272697849898,0.8705555555555555,0.8333333333333334,0.7777777777777778
3,0.051816182960465085,0.8216666666666667,0.8333333333333334,0.7777777777777778
4,0.027618483705737162,0.8166666666666667,0.7777777777777778,0.7833333333333334
5,0.025586319613466912,0.8661111111111112,0.888888888888889,0.7833333333333334
