fold,best_w_tabular,auc_tab,auc_img,auc_mean,auc_weighted,auc_product,auc_stack_lr,auc_max
0,0.02,1.0,0.9761904761904762,1.0,0.9761904761904762,1.0,1.0,0.9761904761904762
1,0.065,1.0,0.9047619047619048,1.0,0.9047619047619048,1.0,1.0,1.0
2,0.145,0.5789473684210527,0.8596491228070176,0.8070175438596492,0.8596491228070176,0.8070175438596492,0.7894736842105263,0.6754385964912282
3,0.215,0.6491228070175439,0.9649122807017545,0.8245614035087719,0.912280701754386,0.8245614035087719,0.8245614035087719,0.6666666666666667
4,0.02,0.625,1.0,0.875,1.0,0.875,0.875,0.625
