fold,best_w_tabular,auc_tab,auc_img,auc_mean,auc_weighted,auc_product,auc_stack_lr,auc_max
0,0.1,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.6666666666666666
1,0.095,0.8095238095238095,0.9523809523809524,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.8571428571428572
2,0.125,0.8095238095238095,0.6666666666666667,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095
3,0.14,0.9583333333333333,0.7916666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333333
4,0.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
