方法,各折AUC均值,各折AUC标准差,OOF总体AUC,OOF_AP,OOF_Accuracy,OOF_Sensitivity,OOF_Specificity,OOF_F1,OOF_F1_weighted,OOF_Brier
表格单模态,0.7097313797313797,0.07949111845486921,0.7040781934614088,0.5766446690803564,0.6339285714285714,0.7441860465116279,0.5652173913043478,0.6095238095238096,0.6378251300520209,0.22039443053025692
图像单模态,0.7391269841269841,0.09665369892428867,0.750252780586451,0.6500626265274906,0.6339285714285714,0.7674418604651163,0.5507246376811594,0.616822429906542,0.636998904522269,0.23035132226181204
简单平均,0.7619505494505494,0.0611510078117045,0.7495786990225818,0.6320285077758407,0.6517857142857143,0.7674418604651163,0.5797101449275363,0.6285714285714286,0.6554921968787515,0.21851745518776003
加权平均（折内网格搜索 w）,0.7953510378510378,0.035839830267143886,0.7866531850353893,0.7023657496296126,0.6875,0.8372093023255814,0.5942028985507246,0.6728971962616822,0.6901210160555955,0.22625480805706563
乘积融合（归一化）,0.7603632478632478,0.05892810299675399,0.7492416582406471,0.6287108249819782,0.6517857142857143,0.7674418604651163,0.5797101449275363,0.6285714285714286,0.6554921968787515,0.20912577063232934
"最大值融合 max(P_tab,P_img)",0.7342948717948719,0.10822159142118253,0.7216043141220088,0.5867130796359838,0.5535714285714286,0.9302325581395349,0.3188405797101449,0.6153846153846154,0.5246375964461071,0.24352785542280594
Stacking（逻辑回归元学习器）,0.7364957264957266,0.07306818224593266,0.7232895180316818,0.5959322443407599,0.625,0.7441860465116279,0.5507246376811594,0.6037735849056604,0.6285976974736168,0.2390706056983716
