方法,各折AUC均值,各折AUC标准差,OOF总体AUC,OOF_AP,OOF_Accuracy,OOF_Sensitivity,OOF_Specificity,OOF_F1,OOF_F1_weighted,OOF_Brier
表格单模态,0.7706140350877193,0.18864544448309065,0.6933333333333334,0.9427160015260756,0.7232142857142857,0.74,0.5833333333333334,0.8268156424581006,0.771561585528066,0.19249464038907874
图像单模态,0.9411027568922306,0.05142427200171226,0.9474999999999999,0.9935497634040487,0.875,0.88,0.8333333333333334,0.9263157894736842,0.890092879256966,0.15386179647159354
简单平均,0.9013157894736843,0.0836098827660502,0.8724999999999999,0.981640112804942,0.8125,0.84,0.5833333333333334,0.8888888888888888,0.8365079365079364,0.16565714658749142
加权平均（折内网格搜索 w）,0.930576441102757,0.050856817777687365,0.9308333333333333,0.9911952459347182,0.875,0.88,0.8333333333333334,0.9263157894736842,0.890092879256966,0.15542867869087448
乘积融合（归一化）,0.9013157894736843,0.0836098827660502,0.8708333333333333,0.9812714679890325,0.8125,0.84,0.5833333333333334,0.8888888888888888,0.8365079365079364,0.1354441432415986
"最大值融合 max(P_tab,P_img)",0.7886591478696742,0.16390139126125197,0.7404166666666667,0.9507611503473475,0.875,0.92,0.5,0.9292929292929293,0.8791763791763791,0.13500073716676253
Stacking（逻辑回归元学习器）,0.8978070175438596,0.08775876305224008,0.8691666666666666,0.9800945107699618,0.8214285714285714,0.84,0.6666666666666666,0.8936170212765957,0.8454913880445795,0.1976014404689692
