fold,best_w_tabular,auc_tab,auc_img,auc_mean,auc_weighted,auc_product,auc_stack_lr,auc_max
0,0.11,0.7946428571428572,0.625,0.8125,0.8482142857142857,0.8125,0.8035714285714286,0.8392857142857143
1,0.13,0.7936507936507936,0.8095238095238095,0.8492063492063491,0.8095238095238095,0.8412698412698412,0.8333333333333334,0.873015873015873
2,0.14,0.6916666666666667,0.8583333333333333,0.75,0.8083333333333333,0.75,0.7166666666666667,0.7083333333333334
3,0.155,0.5811965811965811,0.7777777777777778,0.6837606837606838,0.7606837606837606,0.6837606837606838,0.6324786324786325,0.5811965811965811
4,0.12,0.6875,0.625,0.7142857142857142,0.75,0.7142857142857142,0.6964285714285714,0.6696428571428571
