方法,各折AUC均值,各折AUC标准差,OOF总体AUC,OOF_AP,OOF_Accuracy,OOF_Sensitivity,OOF_Specificity,OOF_F1,OOF_F1_weighted,OOF_Brier
表格单模态,0.8488095238095237,0.11926171225112565,0.8171428571428571,0.912896392728841,0.74,0.7714285714285715,0.6666666666666666,0.8059701492537313,0.7459972862957938,0.17400124319312926
图像单模态,0.8376984126984126,0.1220288100665928,0.8495238095238096,0.9274548900415445,0.8,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8,0.21910825081288002
简单平均,0.8710317460317463,0.0900190344083267,0.8342857142857142,0.9180405155235116,0.76,0.8,0.6666666666666666,0.8235294117647058,0.7639705882352941,0.18220078060150052
加权平均（折内网格搜索 w）,0.9039682539682538,0.06087875844687335,0.8761904761904762,0.9368593458902023,0.86,0.9428571428571428,0.6666666666666666,0.9041095890410958,0.8550989345509893,0.20706715229698733
乘积融合（归一化）,0.8710317460317463,0.0900190344083267,0.8323809523809523,0.9175972531121642,0.76,0.8,0.6666666666666666,0.8235294117647058,0.7639705882352941,0.15965247671149538
"最大值融合 max(P_tab,P_img)",0.8583333333333332,0.11763446978129168,0.8419047619047619,0.9209650078068384,0.84,0.9714285714285714,0.5333333333333333,0.8947368421052632,0.8263157894736842,0.1607224931165203
Stacking（逻辑回归元学习器）,0.8488095238095237,0.11926171225112567,0.8133333333333332,0.9096430572261066,0.74,0.7714285714285715,0.6666666666666666,0.8059701492537313,0.7459972862957938,0.22391796453871263
