epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3373.55,0.63132,0.92622,1.23957,0.93951,0,0.48238,0.5371,0.51927,0.41208,0.49532,0.46128,0.47146,0.29043,0.6683,0.72024,1.95591,0.88628,0,0.00104703,0.00104703,0.00104703
29,3493.98,0.628,0.88689,1.25614,0.93414,0,0.55473,0.5303,0.55828,0.43081,0.51617,0.47603,0.50056,0.29659,0.66674,0.7044,1.26949,0.89435,0,0.00103288,0.00103288,0.00103288
30,3613.97,0.62417,0.87938,1.2191,0.9341,0,0.56778,0.5553,0.59494,0.46342,0.55421,0.49055,0.51942,0.30763,0.65086,0.7922,1.25991,0.88558,0,0.00101873,0.00101873,0.00101873
31,3734,0.62079,0.89492,1.21642,0.94388,0,0.56868,0.57468,0.60342,0.45406,0.52981,0.51961,0.528,0.30055,0.66281,0.76305,1.29198,0.88405,0,0.00100459,0.00100459,0.00100459
32,3854.23,0.62131,0.89769,1.20847,0.93812,0,0.59739,0.61717,0.64616,0.49521,0.5878,0.52349,0.57144,0.33193,0.67034,0.74761,1.23224,0.89427,0,0.00099044,0.00099044,0.00099044
33,3974.39,0.61904,0.86919,1.17782,0.93603,0,0.56766,0.58815,0.6101,0.47376,0.53923,0.52339,0.53935,0.31553,0.66458,0.74285,1.29456,0.88838,0,0.000976293,0.000976293,0.000976293
34,4094.68,0.61546,0.86889,1.16884,0.93537,0,0.64351,0.60048,0.66557,0.50747,0.62182,0.53417,0.58449,0.35012,0.66112,0.73464,1.14247,0.89234,0,0.000962146,0.000962146,0.000962146
35,4214.92,0.60568,0.86577,1.17293,0.93598,0,0.60888,0.61808,0.64081,0.49508,0.56953,0.54454,0.56471,0.3367,0.64549,0.69125,1.11546,0.87662,0,0.000947999,0.000947999,0.000947999
36,4334.82,0.60189,0.85349,1.15339,0.92946,0,0.66629,0.63756,0.69327,0.53675,0.61626,0.56574,0.60299,0.34446,0.62859,0.70236,1.02956,0.87614,0,0.000933851,0.000933851,0.000933851
37,4454.69,0.59499,0.85222,1.1305,0.929,0,0.65116,0.62492,0.67934,0.52445,0.59599,0.55402,0.59178,0.34672,0.61227,0.71109,1.06677,0.86478,0,0.000919704,0.000919704,0.000919704
38,4574.32,0.58842,0.83802,1.11735,0.925,0,0.60985,0.6615,0.66575,0.52248,0.57461,0.56676,0.58199,0.35056,0.62117,0.72673,1.09894,0.86509,0,0.000905557,0.000905557,0.000905557
39,4694.33,0.59441,0.84197,1.15991,0.9316,0,0.64599,0.58304,0.64971,0.5031,0.60675,0.50957,0.56601,0.33946,0.61249,0.73082,1.09522,0.86731,0,0.00089141,0.00089141,0.00089141
40,4813.8,0.59232,0.82188,1.13399,0.92683,0,0.63571,0.65516,0.69057,0.54339,0.61899,0.56756,0.60824,0.35777,0.61423,0.71098,1.11318,0.86673,0,0.000877263,0.000877263,0.000877263
41,4933.37,0.59765,0.83799,1.12872,0.9291,0,0.6368,0.63773,0.6785,0.5328,0.61077,0.53736,0.58947,0.34633,0.61228,0.70027,1.27249,0.8671,0,0.000863116,0.000863116,0.000863116
42,5052.63,0.59022,0.84698,1.1082,0.92758,0,0.66564,0.64422,0.70126,0.55698,0.64485,0.57605,0.62099,0.36905,0.59478,0.68373,1.17253,0.86723,0,0.000848969,0.000848969,0.000848969
43,5172.45,0.5811,0.84387,1.06907,0.92021,0,0.65405,0.6496,0.70259,0.54486,0.63527,0.55488,0.60988,0.36016,0.60849,0.70105,0.96715,0.86561,0,0.000834822,0.000834822,0.000834822
44,5292.1,0.5827,0.85062,1.09472,0.91896,0,0.68473,0.62696,0.69849,0.54631,0.64125,0.55667,0.60798,0.35167,0.59619,0.69837,1.00347,0.85574,0,0.000820675,0.000820675,0.000820675
45,5411.72,0.56877,0.8249,1.08164,0.91748,0,0.69378,0.65046,0.71516,0.56655,0.65549,0.58761,0.64148,0.38012,0.57966,0.64027,0.93806,0.86012,0,0.000806528,0.000806528,0.000806528
46,5531.97,0.57797,0.84571,1.06449,0.91974,0,0.70348,0.64925,0.72291,0.55775,0.64889,0.57056,0.61743,0.35357,0.59882,0.72134,0.95872,0.85857,0,0.00079238,0.00079238,0.00079238
47,5651.96,0.56719,0.81267,1.05381,0.91396,0,0.64781,0.60268,0.66466,0.53338,0.60461,0.53902,0.58586,0.34855,0.58788,0.66318,1.44787,0.85434,0,0.000778233,0.000778233,0.000778233
48,5771.92,0.57319,0.83184,1.04614,0.91887,0,0.69656,0.66171,0.72517,0.57596,0.68344,0.57484,0.65254,0.3884,0.5752,0.62655,0.91672,0.85538,0,0.000764086,0.000764086,0.000764086
49,5891.57,0.55879,0.79988,1.03698,0.91426,0,0.72056,0.6815,0.75297,0.5946,0.66323,0.61547,0.66417,0.39369,0.58256,0.69785,0.93823,0.85918,0,0.000749939,0.000749939,0.000749939
50,6011.33,0.55544,0.81946,1.05196,0.91574,0,0.71092,0.67496,0.75462,0.59848,0.66683,0.60501,0.66319,0.39564,0.58293,0.64103,0.98596,0.85938,0,0.000735792,0.000735792,0.000735792
51,6131.53,0.55743,0.79487,1.02893,0.91555,0,0.72824,0.64634,0.74574,0.5851,0.6831,0.57685,0.6486,0.37717,0.57452,0.72812,0.88775,0.85197,0,0.000721645,0.000721645,0.000721645
52,6252.53,0.56608,0.79612,1.01674,0.91381,0,0.69063,0.6761,0.7453,0.59473,0.68334,0.58894,0.65598,0.39331,0.56949,0.714,0.96346,0.84929,0,0.000707498,0.000707498,0.000707498
53,6372.86,0.55781,0.81649,1.01553,0.9089,0,0.70325,0.69375,0.74934,0.59345,0.69162,0.59457,0.6599,0.39419,0.58693,0.6825,0.93839,0.85848,0,0.000693351,0.000693351,0.000693351
54,6493.01,0.54573,0.80485,1.00413,0.91097,0,0.73697,0.67539,0.75515,0.59025,0.69597,0.60155,0.66652,0.39521,0.58706,0.65926,0.93464,0.85549,0,0.000679204,0.000679204,0.000679204
